unique_id,ds,Naive,SeasonalNaive,AutoETS,NBEATS,NHITS,LGBMRegressor
hotel_0,2023-07-01,0.8271604938271605,0.9506172839506173,0.8542002171862775,0.8687199,0.8049413,0.9098490325382506
hotel_0,2023-07-02,0.8271604938271605,0.5061728395061729,0.6258887772485338,0.6118024,0.7190368,0.6535526589056482
hotel_0,2023-07-03,0.8271604938271605,0.5802469135802469,0.6466666000710888,0.64312685,0.697254,0.7033441051035905
hotel_0,2023-07-04,0.8271604938271605,0.691358024691358,0.6839896656640166,0.6965878,0.6956549,0.7277035078382831
hotel_0,2023-07-05,0.8271604938271605,0.654320987654321,0.6812325870362248,0.7359991,0.7141081,0.7705496051458369
hotel_0,2023-07-06,0.8271604938271605,0.7160493827160493,0.7182355754828911,0.73594284,0.7527789,0.7944697172482416
hotel_0,2023-07-07,0.8271604938271605,0.8271604938271605,0.8220192023642633,0.8385118,0.8019536,0.8339697984009621
hotel_0,2023-07-08,0.8271604938271605,0.9506172839506173,0.8542002171862775,0.8474594,0.769496,0.9086149189877638
hotel_0,2023-07-09,0.8271604938271605,0.5061728395061729,0.6258887772485338,0.657582,0.7019554,0.610473277559072
hotel_0,2023-07-10,0.8271604938271605,0.5802469135802469,0.6466666000710888,0.65534735,0.7124531,0.673571309643564
hotel_0,2023-07-11,0.8271604938271605,0.691358024691358,0.6839896656640166,0.735568,0.71178514,0.7142336157465946
hotel_0,2023-07-12,0.8271604938271605,0.654320987654321,0.6812325870362248,0.70699584,0.71444577,0.7670265772779912
hotel_0,2023-07-13,0.8271604938271605,0.7160493827160493,0.7182355754828911,0.7259843,0.76462793,0.760138897904426
hotel_0,2023-07-14,0.8271604938271605,0.8271604938271605,0.8220192023642633,0.8563158,0.80235493,0.8247409536617466
hotel_0,2023-07-15,0.8271604938271605,0.9506172839506173,0.8542002171862775,0.8218909,0.7649224,0.8838917341595117
hotel_0,2023-07-16,0.8271604938271605,0.5061728395061729,0.6258887772485338,0.6384146,0.71685934,0.6871798588802299
hotel_0,2023-07-17,0.8271604938271605,0.5802469135802469,0.6466666000710888,0.6416801,0.6830151,0.7092987547907713
hotel_0,2023-07-18,0.8271604938271605,0.691358024691358,0.6839896656640166,0.70811063,0.70358515,0.771873450878137
hotel_0,2023-07-19,0.8271604938271605,0.654320987654321,0.6812325870362248,0.74529463,0.71916264,0.7956741016083074
hotel_0,2023-07-20,0.8271604938271605,0.7160493827160493,0.7182355754828911,0.74445295,0.76891387,0.8006893991394066
hotel_0,2023-07-21,0.8271604938271605,0.8271604938271605,0.8220192023642633,0.8317834,0.80444425,0.8379734934426287
hotel_0,2023-07-22,0.8271604938271605,0.9506172839506173,0.8542002171862775,0.80524457,0.78050476,0.8814378285430099
hotel_0,2023-07-23,0.8271604938271605,0.5061728395061729,0.6258887772485338,0.6749562,0.7189932,0.6659475768355902
hotel_0,2023-07-24,0.8271604938271605,0.5802469135802469,0.6466666000710888,0.6556087,0.6993438,0.7313521382369277
hotel_0,2023-07-25,0.8271604938271605,0.691358024691358,0.6839896656640166,0.7556058,0.71594435,0.7909421075217271
hotel_0,2023-07-26,0.8271604938271605,0.654320987654321,0.6812325870362248,0.73643184,0.7321888,0.8103512921444666
hotel_0,2023-07-27,0.8271604938271605,0.7160493827160493,0.7182355754828911,0.7890071,0.7654099,0.8144942629724728
hotel_0,2023-07-28,0.8271604938271605,0.8271604938271605,0.8220192023642633,0.82405496,0.81480473,0.8497362377469978
hotel_105,2023-07-01,1.0,0.9874213836477987,1.0476449387846933,0.9946899,1.0071592,0.9824345061749168
hotel_105,2023-07-02,1.0,0.9937106918238994,0.9616544656744862,1.0015318,1.0096502,0.964234907625479
hotel_105,2023-07-03,1.0,1.0188679245283019,1.0073316004594441,1.013836,1.0069416,1.0111888830232165
hotel_105,2023-07-04,1.0,1.0314465408805031,1.0373367269875087,1.0181491,1.0009217,0.9967579315359975
hotel_105,2023-07-05,1.0,1.0440251572327044,1.039713682926658,1.0138459,0.99998057,1.0059194055866094
hotel_105,2023-07-06,1.0,1.0062893081761006,0.9883744022494184,1.0031319,1.0030012,0.9988925295772143
hotel_105,2023-07-07,1.0,1.0,1.0078429181655375,0.9912574,0.99907357,0.9945922831801608
hotel_105,2023-07-08,1.0,0.9874213836477987,1.0476449387846933,0.9919697,1.0060573,0.9991567279319248
hotel_105,2023-07-09,1.0,0.9937106918238994,0.9616544656744862,0.9982602,1.0052602,0.9420472085820559
hotel_105,2023-07-10,1.0,1.0188679245283019,1.0073316004594441,1.0088593,1.0069383,1.0145286438073242
hotel_105,2023-07-11,1.0,1.0314465408805031,1.0373367269875087,1.0104291,1.0081687,0.9681374781072996
hotel_105,2023-07-12,1.0,1.0440251572327044,1.039713682926658,1.0109195,1.008937,0.9873902715497384
hotel_105,2023-07-13,1.0,1.0062893081761006,0.9883744022494184,0.99942887,1.0076232,0.9864929349996132
hotel_105,2023-07-14,1.0,1.0,1.0078429181655375,0.9936941,1.0068904,0.9914418527441369
hotel_105,2023-07-15,1.0,0.9874213836477987,1.0476449387846933,0.9879355,1.0005026,0.9902931854359752
hotel_105,2023-07-16,1.0,0.9937106918238994,0.9616544656744862,0.9824972,0.9994756,0.9249420444698981
hotel_105,2023-07-17,1.0,1.0188679245283019,1.0073316004594441,1.0028634,1.0045468,1.0186344798734441
hotel_105,2023-07-18,1.0,1.0314465408805031,1.0373367269875087,1.0090262,1.0033984,0.9582118871915694
hotel_105,2023-07-19,1.0,1.0440251572327044,1.039713682926658,1.0124418,1.0048344,0.9681698737183597
