unique_id,ds,cutoff,y,Naive,SeasonalNaive,AutoETS,NBEATS,NHITS,LGBMRegressor
hotel_70,2023-04-18,2023-04-07,0.3201754385964912,0.3157894736842105,0.4517543859649123,0.21026250646154263,0.41660514,0.37833616,0.383065638954434
hotel_70,2023-04-19,2023-04-07,0.31140350877192985,0.3157894736842105,0.4342105263157895,0.2267569370538569,0.4164812,0.3753814,0.41540631516692855
hotel_70,2023-04-20,2023-04-07,0.2675438596491228,0.3157894736842105,0.42105263157894735,0.25972103392983786,0.40210992,0.3566423,0.425972392766004
hotel_70,2023-04-21,2023-04-07,0.4473684210526316,0.3157894736842105,0.3157894736842105,0.3085947717587414,0.37503526,0.3531449,0.44046643315939965
hotel_70,2023-04-22,2023-04-07,0.44298245614035087,0.3157894736842105,0.4517543859649123,0.3474219498401573,0.39855105,0.36128813,0.4217341440313928
hotel_70,2023-04-23,2023-04-07,0.2149122807017544,0.3157894736842105,0.36403508771929827,0.23211379521067851,0.38182977,0.36231965,0.3523890156205585
hotel_70,2023-04-24,2023-04-07,0.34210526315789475,0.3157894736842105,0.45614035087719296,0.22431768814779332,0.4031074,0.38204357,0.3576533024533465
hotel_70,2023-04-25,2023-04-07,0.35964912280701755,0.3157894736842105,0.4517543859649123,0.21026250646154263,0.4139854,0.38535014,0.38911828223007006
hotel_70,2023-04-26,2023-04-07,0.2543859649122807,0.3157894736842105,0.4342105263157895,0.2267569370538569,0.42789704,0.38079157,0.4146781819099327
hotel_70,2023-04-27,2023-04-07,0.2719298245614035,0.3157894736842105,0.42105263157894735,0.25972103392983786,0.3897962,0.36205384,0.425972392766004
hotel_70,2023-04-28,2023-04-07,0.4649122807017544,0.3157894736842105,0.3157894736842105,0.3085947717587414,0.39345974,0.35276356,0.45121201004797534
hotel_70,2023-04-29,2023-04-07,0.4780701754385965,0.3157894736842105,0.4517543859649123,0.3474219498401573,0.4231222,0.3586759,0.42676410835784817
hotel_70,2023-04-30,2023-04-07,0.25,0.3157894736842105,0.36403508771929827,0.23211379521067851,0.39595184,0.3849939,0.35813171881945
hotel_70,2023-05-01,2023-04-07,0.2675438596491228,0.3157894736842105,0.45614035087719296,0.22431768814779332,0.39980674,0.3961857,0.3461878328096639
hotel_70,2023-05-02,2023-04-07,0.2807017543859649,0.3157894736842105,0.4517543859649123,0.21026250646154263,0.40970057,0.39507195,0.37551400828642983
hotel_70,2023-05-03,2023-04-07,0.17543859649122806,0.3157894736842105,0.4342105263157895,0.2267569370538569,0.42415074,0.39112136,0.3976584188007111
hotel_70,2023-05-04,2023-04-07,0.25877192982456143,0.3157894736842105,0.42105263157894735,0.25972103392983786,0.41958898,0.36829516,0.4267273876233273
hotel_70,2023-05-05,2023-04-07,0.3684210526315789,0.3157894736842105,0.3157894736842105,0.3085947717587414,0.39070755,0.36368138,0.45392066825938593
hotel_70,2023-05-06,2023-05-05,0.41228070175438597,0.3684210526315789,0.4780701754385965,0.38740125155159716,0.35039225,0.3547903,0.3970536532887851
hotel_70,2023-05-07,2023-05-05,0.2236842105263158,0.3684210526315789,0.25,0.27544346714422535,0.27459252,0.3075322,0.3102330638182515
hotel_70,2023-05-08,2023-05-05,0.2850877192982456,0.3684210526315789,0.2675438596491228,0.29569960398103207,0.2985634,0.2998691,0.3222611590581539
hotel_70,2023-05-09,2023-05-05,0.35964912280701755,0.3684210526315789,0.2807017543859649,0.26819930363875516,0.31407773,0.2997498,0.3356204725538953
hotel_70,2023-05-10,2023-05-05,0.34649122807017546,0.3684210526315789,0.17543859649122806,0.2647245735232996,0.2969819,0.3119405,0.3030971772960012
hotel_70,2023-05-11,2023-05-05,0.31140350877192985,0.3684210526315789,0.25877192982456143,0.304776264099583,0.29011098,0.3320693,0.3224726301142337
hotel_70,2023-05-12,2023-05-05,0.3991228070175439,0.3684210526315789,0.3684210526315789,0.3705708325108163,0.37058008,0.3539357,0.3829389090385516
hotel_70,2023-05-13,2023-05-05,0.4517543859649123,0.3684210526315789,0.4780701754385965,0.38740125155159716,0.36274272,0.33825117,0.4096984464434459
hotel_70,2023-05-14,2023-05-05,0.3157894736842105,0.3684210526315789,0.25,0.27544346714422535,0.26020926,0.29649195,0.29681757914892987
hotel_70,2023-05-15,2023-05-05,0.43859649122807015,0.3684210526315789,0.2675438596491228,0.29569960398103207,0.2909609,0.30420554,0.32288418996911494
hotel_70,2023-05-16,2023-05-05,0.44298245614035087,0.3684210526315789,0.2807017543859649,0.26819930363875516,0.32738924,0.298934,0.3333675893930423
hotel_70,2023-05-17,2023-05-05,0.3201754385964912,0.3684210526315789,0.17543859649122806,0.2647245735232996,0.28008983,0.31008458,0.3386185237400122
hotel_70,2023-05-18,2023-05-05,0.4298245614035088,0.3684210526315789,0.25877192982456143,0.304776264099583,0.29148597,0.33417064,0.3324434576134933
hotel_70,2023-05-19,2023-05-05,0.45614035087719296,0.3684210526315789,0.3684210526315789,0.3705708325108163,0.40026945,0.3599537,0.3878952752872498
hotel_70,2023-05-20,2023-05-05,0.4605263157894737,0.3684210526315789,0.4780701754385965,0.38740125155159716,0.36812234,0.32952783,0.4061840029436754
hotel_70,2023-05-21,2023-05-05,0.40789473684210525,0.3684210526315789,0.25,0.27544346714422535,0.25657162,0.30126566,0.30727858575750555
hotel_70,2023-05-22,2023-05-05,0.38596491228070173,0.3684210526315789,0.2675438596491228,0.29569960398103207,0.31133786,0.29663485,0.3312704531696283
hotel_70,2023-05-23,2023-05-05,0.41228070175438597,0.3684210526315789,0.2807017543859649,0.26819930363875516,0.32006294,0.3027337,0.3482736598093851
hotel_70,2023-05-24,2023-05-05,0.3991228070175439,0.3684210526315789,0.17543859649122806,0.2647245735232996,0.2928174,0.31405085,0.3463613866695506
hotel_70,2023-05-25,2023-05-05,0.40789473684210525,0.3684210526315789,0.25877192982456143,0.304776264099583,0.29282758,0.33937916,0.34711338894884997
hotel_70,2023-05-26,2023-05-05,0.39035087719298245,0.3684210526315789,0.3684210526315789,0.3705708325108163,0.37817883,0.37215057,0.3942934415609023
hotel_70,2023-05-27,2023-05-05,0.41228070175438597,0.3684210526315789,0.4780701754385965,0.38740125155159716,0.3716942,0.3441634,0.4092681889970369
hotel_70,2023-05-28,2023-05-05,0.4298245614035088,0.3684210526315789,0.25,0.27544346714422535,0.26600522,0.31634846,0.3027303895552921
hotel_70,2023-05-29,2023-05-05,0.2543859649122807,0.3684210526315789,0.2675438596491228,0.29569960398103207,0.31104028,0.31939194,0.3312704531696283
hotel_70,2023-05-30,2023-05-05,0.35964912280701755,0.3684210526315789,0.2807017543859649,0.26819930363875516,0.33584398,0.32193935,0.3458355591871279
hotel_70,2023-05-31,2023-05-05,0.4868421052631579,0.3684210526315789,0.17543859649122806,0.2647245735232996,0.30523598,0.3267557,0.3508182986784086
hotel_70,2023-06-01,2023-05-05,0.5964912280701754,0.3684210526315789,0.25877192982456143,0.304776264099583,0.3269373,0.34676966,0.3623127169766121
hotel_70,2023-06-02,2023-05-05,0.5657894736842105,0.3684210526315789,0.3684210526315789,0.3705708325108163,0.37831205,0.38085273,0.4207421547553363
hotel_70,2023-06-03,2023-06-02,0.5964912280701754,0.5657894736842105,0.41228070175438597,0.5917986913036359,0.52847725,0.5378103,0.5183861859929269
hotel_70,2023-06-04,2023-06-02,0.4649122807017544,0.5657894736842105,0.4298245614035088,0.48171847607544516,0.4104482,0.45665157,0.44091333794620924
hotel_70,2023-06-05,2023-06-02,0.4473684210526316,0.5657894736842105,0.2543859649122807,0.48848736242562163,0.40831378,0.45460033,0.43082867246935636
hotel_70,2023-06-06,2023-06-02,0.5131578947368421,0.5657894736842105,0.35964912280701755,0.481538355076262,0.40976796,0.44931412,0.4286747998820331
hotel_70,2023-06-07,2023-06-02,0.5877192982456141,0.5657894736842105,0.4868421052631579,0.46774949360625423,0.4373154,0.47150296,0.41992766537684795
hotel_70,2023-06-08,2023-06-02,0.6140350877192983,0.5657894736842105,0.5964912280701754,0.5069465780793083,0.43805552,0.49638808,0.46262712488131374
hotel_70,2023-06-09,2023-06-02,0.6403508771929824,0.5657894736842105,0.5657894736842105,0.5620563067445632,0.5039632,0.53636515,0.5213789586686554
hotel_70,2023-06-10,2023-06-02,0.6403508771929824,0.5657894736842105,0.41228070175438597,0.5917986913036359,0.49853465,0.49867645,0.507272041092832
hotel_70,2023-06-11,2023-06-02,0.5877192982456141,0.5657894736842105,0.4298245614035088,0.48171847607544516,0.39739835,0.43720022,0.4527464813451242
hotel_70,2023-06-12,2023-06-02,0.5526315789473685,0.5657894736842105,0.2543859649122807,0.48848736242562163,0.38767263,0.44944373,0.44494422198481653
hotel_70,2023-06-13,2023-06-02,0.5175438596491229,0.5657894736842105,0.35964912280701755,0.481538355076262,0.43351334,0.4336625,0.43893527743413846
hotel_70,2023-06-14,2023-06-02,0.543859649122807,0.5657894736842105,0.4868421052631579,0.46774949360625423,0.41546082,0.44611692,0.4393396308771154
hotel_70,2023-06-15,2023-06-02,0.5789473684210527,0.5657894736842105,0.5964912280701754,0.5069465780793083,0.4391306,0.49150217,0.46077135719197326
hotel_70,2023-06-16,2023-06-02,0.6447368421052632,0.5657894736842105,0.5657894736842105,0.5620563067445632,0.5234512,0.53163815,0.5312769976930307
hotel_70,2023-06-17,2023-06-02,0.7368421052631579,0.5657894736842105,0.41228070175438597,0.5917986913036359,0.4851184,0.49136904,0.5323302993375452
hotel_70,2023-06-18,2023-06-02,0.6447368421052632,0.5657894736842105,0.4298245614035088,0.48171847607544516,0.38575572,0.45119277,0.46467265966509624
hotel_70,2023-06-19,2023-06-02,0.5701754385964912,0.5657894736842105,0.2543859649122807,0.48848736242562163,0.385455,0.44037157,0.4524517362409784
hotel_70,2023-06-20,2023-06-02,0.6096491228070176,0.5657894736842105,0.35964912280701755,0.481538355076262,0.42722479,0.45272073,0.4382837056733023
hotel_70,2023-06-21,2023-06-02,0.5526315789473685,0.5657894736842105,0.4868421052631579,0.46774949360625423,0.43283552,0.4544713,0.42171268142855667
hotel_70,2023-06-22,2023-06-02,0.5482456140350878,0.5657894736842105,0.5964912280701754,0.5069465780793083,0.44881913,0.49586266,0.41717653961119633
hotel_70,2023-06-23,2023-06-02,0.6403508771929824,0.5657894736842105,0.5657894736842105,0.5620563067445632,0.5141439,0.53804994,0.4772597055050308
hotel_70,2023-06-24,2023-06-02,0.7982456140350878,0.5657894736842105,0.41228070175438597,0.5917986913036359,0.5041156,0.50608677,0.4909640065217745
hotel_70,2023-06-25,2023-06-02,0.6535087719298246,0.5657894736842105,0.4298245614035088,0.48171847607544516,0.42485583,0.45813113,0.46355582478584506
hotel_70,2023-06-26,2023-06-02,0.7105263157894737,0.5657894736842105,0.2543859649122807,0.48848736242562163,0.4129358,0.45404065,0.4591093356362544
hotel_70,2023-06-27,2023-06-02,0.7105263157894737,0.5657894736842105,0.35964912280701755,0.481538355076262,0.43856272,0.46584654,0.462896110780547
hotel_70,2023-06-28,2023-06-02,0.75,0.5657894736842105,0.4868421052631579,0.46774949360625423,0.4397163,0.46763527,0.4710287153829405
hotel_70,2023-06-29,2023-06-02,0.7587719298245614,0.5657894736842105,0.5964912280701754,0.5069465780793083,0.47775215,0.5056806,0.4675561976335338
hotel_70,2023-06-30,2023-06-02,0.8377192982456141,0.5657894736842105,0.5657894736842105,0.5620563067445632,0.5074361,0.5489345,0.5048949870708916
hotel_84,2023-04-08,2023-04-07,0.6020761245674741,0.643598615916955,0.9134948096885813,0.7878312187139078,0.7099968,0.6322549,0.7844299596689529
hotel_84,2023-04-09,2023-04-07,0.39792387543252594,0.643598615916955,0.6332179930795848,0.5291986840450784,0.66455317,0.58326745,0.5897060038132812
hotel_84,2023-04-10,2023-04-07,0.657439446366782,0.643598615916955,0.7993079584775087,0.5438225083126048,0.63371277,0.5753747,0.6989304567309657
hotel_84,2023-04-11,2023-04-07,0.7820069204152249,0.643598615916955,0.9100346020761245,0.5997203139984164,0.62565196,0.5782199,0.7483886804807921
hotel_84,2023-04-12,2023-04-07,0.8339100346020761,0.643598615916955,0.9826989619377162,0.6133064534615674,0.68039924,0.58468467,0.7602560578268307
hotel_84,2023-04-13,2023-04-07,0.7923875432525952,0.643598615916955,0.8581314878892734,0.5984541010823732,0.69203246,0.6042381,0.7557975072376677
hotel_84,2023-04-14,2023-04-07,0.7993079584775087,0.643598615916955,0.643598615916955,0.7410702034855067,0.71135366,0.64014155,0.7997237612045693
